id,feature_key,display_name,category,feature_type,description,rollout_status,created_at,updated_at,archived_at,is_toggleable,is_removable,lock_reason,is_system_feature
46dc94fc-2191-45d3-9f12-7c7ae7aa7a2f,policy_consolidation_log,Policy Consolidation Log,Support Tools,module,Database table: _policy_consolidation_log,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
47bdd85d-75bd-4d42-9846-6ecd6232806a,tierdetail,Tier Details,Support Tools,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
489b26ca-a2ec-4e0c-83ce-18f30eede463,platform_admins,Platform Admins,Support Tools,module,Database table: platform_admins,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
4a4428e5-df44-4ded-b649-4c97b5c28400,discovery_errors,Discovery Errors,Support Tools,module,Database table: discovery_errors,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
4a642811-33fe-4b4e-b6ab-88f4eb4769aa,seasons,Seasons,Support Tools,module,Service Module: seasonsService.ts,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
4c4cd197-37a1-4cd2-99b8-c9265bc936b1,family_members,Family Members,Support Tools,module,Database table: family_members,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
4cbb23a8-2913-41d7-b033-c1899b18eb11,requestattachment,Request Athlete Attachment,Teams & Rosters,module,Request to attach to an existing athlete,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
4df2f55d-a0c4-427e-9949-73bd5709d10d,feature_discovery_cache,Feature Discovery Cache,Support Tools,module,Database table: feature_discovery_cache,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
4e7836cb-4ea0-4202-b0ee-f172fc4c9588,paymentsettings,Paymentsettings,Payments,module,Service Module: paymentSettingsService.ts,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
515fd164-915b-46ae-8b27-8c6bee4b23fe,valid_event_types,Valid Event Types,Scheduling & Calendar,module,Database table: valid_event_types,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
54251b1a-bd2b-45af-810e-fd005da7e410,tryouts,Tryouts,Support Tools,module,Service Module: tryoutsService.ts,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
54892e4b-581d-4011-94b3-7e7a3db73bbb,overridecreate,Create Override,Support Tools,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
54b33a5d-b8d4-4971-abc1-324035cad5a3,overridedetail,Override Details,Support Tools,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
55fc00bb-01a9-4536-9bc6-9fe78d64ea06,guardian_attachment_requests,Guardian Attachment Requests,Support Tools,module,Database table: guardian_attachment_requests,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
57b179d4-bdb9-4736-b731-a1a8e1710c60,settings,Settings,Admin & Permissions,module,Personal settings,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
582ffa91-d843-41dc-9716-3f9d1be74a8c,athlete_sports,Athlete Sports,Teams & Rosters,module,Database table: athlete_sports,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
5df671a8-7384-4017-bb92-d2174293be7b,huddles,Huddles,Support Tools,module,Service Module: huddlesService.ts,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
5e6c0e94-68d7-4020-b071-90e0dbd099af,import,Import Athletes,Teams & Rosters,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
5f928d0a-50cd-4be8-a379-d41556b1e044,venueinsights,Venueinsights,Support Tools,module,Service Module: venueInsightsService.ts,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
631cbe86-0cfe-47e8-afe0-c8cac127980f,tryout_registration_staff_notes,Tryout Registration Staff Notes,Support Tools,module,Database table: tryout_registration_staff_notes,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
63279e89-c1b3-45a6-96d9-ba74ca2562ac,venue_nearby_places,Venue Nearby Places,Support Tools,module,Database table: venue_nearby_places,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
638e674c-51e4-44da-941e-b5c97b372474,base,Organization Settings,Support Tools,module,Organization info,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
64a42d98-0e02-4d7d-bf88-ffccfabaa048,seasondetail,Season Details,Support Tools,module,,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
65b44c45-70e1-44b5-b829-05bc4c117e66,entitlement_overrides,Entitlement Overrides,Support Tools,module,Database table: entitlement_overrides,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
671a5a99-4a8d-43e9-a777-6eb6e74f2388,athletephoto,Athletephoto,Support Tools,module,Service Module: athletePhotoService.ts,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
684cae53-8746-4eb8-a2af-fa8d2f4987b6,admin_event_logs,Admin Event Logs,Scheduling & Calendar,module,Database table: admin_event_logs,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
68f596f2-3f8a-4716-bfdb-2befe9666094,join_links,Join Links,Support Tools,module,Database table: join_links,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
6b0296ef-fd3c-4392-adb2-b2d06218e4f1,billing_events,Billing Events,Scheduling & Calendar,module,Database table: billing_events,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
6b98cf79-87ac-41fa-b4f9-12526492e4f6,refunds,Refunds,Support Tools,module,Database table: refunds,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
6e93715f-1253-4a42-91b3-3a4dce961d4d,families,Families,Support Tools,module,Database table: families,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
6f4f8cfb-8c40-4139-a427-f716a9aac3ef,feature_integration_assignments,Feature Integration Assignments,Support Tools,module,Database table: feature_integration_assignments,live,2026-01-28 19:00:07.487591+00,2026-01-28 19:00:07.487591+00,,true,true,,false
6ff1b97c-630f-4a16-ba70-648c904d0327,checkout_session_items,Checkout Session Items,Support Tools,module,Database table: checkout_session_items,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
71a19777-13a6-4383-8a4c-c6f80e63ab61,overrides,Rules & Overrides,Support Tools,module,,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
72abdfda-afa4-44be-8421-354e6c5d1126,organization_sports,Organization Sports,Support Tools,module,Database table: organization_sports,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
74a2f72f-b07f-4d01-9556-e5e6fd751d45,tryout_scores,Tryout Scores,Support Tools,module,Database table: tryout_scores,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
75a8325d-9881-4a9e-9c1a-cffa1ff424cf,feature_dependency_cycles,Feature Dependency Cycles,Support Tools,module,Database table: feature_dependency_cycles,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
76c5bbcc-74c1-4e39-95d8-bfe0e94801ea,team_seasons,Team Seasons,Teams & Rosters,module,Database table: team_seasons,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
76fbfc6c-2229-4974-8906-30835018a6dc,attendance_settings,Attendance Settings,Support Tools,module,Database table: attendance_settings,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
78743e7d-65bc-4ea3-babf-9527246d0e87,event_locations,Event Locations,Scheduling & Calendar,module,Database table: event_locations,live,2026-01-24 05:22:01.379848+00,2026-01-28 19:00:07.487591+00,,true,true,,false
