Feature Key,Name,Category,Type,Description
contactorg,Contact Org Admin,Support Tools,module,Send a request to your organization admin
helpcontact,Contact Support,Support Tools,module,Contact support
contact,Contact Support,Support Tools,module,Contact support
contactrequests,Contactrequests,Support Tools,module,Service Module: contactRequestsService.ts
contactsubmissions,Contactsubmissions,Support Tools,module,Service Module: contactSubmissionsService.ts
contentreview,Content Review,Support Tools,module,Flagged content and moderation
overridecreate,Create Override,Support Tools,module,
dashboard,Dashboard,Support Tools,module,Platform metrics
demo_account_roles,Demo Account Roles,Support Tools,module,Database table: demo_account_roles
demo_codes,Demo Codes,Support Tools,module,Database table: demo_codes
demoinsights,Demo Insights,Support Tools,module,Demo session analytics and engagement
demo_org_pocs,Demo Org Pocs,Support Tools,module,Database table: demo_org_pocs
demo_organizations,Demo Organizations,Support Tools,module,Database table: demo_organizations
demo_sessions,Demo Sessions,Support Tools,module,Database table: demo_sessions
democode,Democode,Support Tools,module,Service Module: demoCodeService.ts
demoorg,Demoorg,Support Tools,module,Service Module: demoOrgService.ts
demosession,Demosession,Support Tools,module,Service Module: demoSessionService.ts
discount_codes,Discount Codes,Support Tools,module,Database table: discount_codes
discount_redemptions,Discount Redemptions,Support Tools,module,Database table: discount_redemptions
discovery_errors,Discovery Errors,Support Tools,module,Database table: discovery_errors
distancetravelinfo,Distancetravelinfo,Support Tools,module,Service Module: distanceTravelInfoService.ts
emailpreview,Email Preview,Support Tools,module,Email template testing
list,Email Templates,Support Tools,module,Manage email templates
email_templates,Email Templates,Support Tools,module,Database table: email_templates
emailtemplates,Emailtemplates,Support Tools,module,Service Module: emailTemplatesService.ts
entitlement_overrides,Entitlement Overrides,Support Tools,module,Database table: entitlement_overrides
export_history,Export History,Support Tools,module,Database table: export_history
facility_blackouts,Facility Blackouts,Support Tools,module,Database table: facility_blackouts
facility_reservations,Facility Reservations,Support Tools,module,Database table: facility_reservations
facility_resources,Facility Resources,Support Tools,module,Database table: facility_resources
families,Families,Support Tools,module,Database table: families
family,Family,Support Tools,module,Service Module: familyService.ts
family_members,Family Members,Support Tools,module,Database table: family_members
fan,Fan,Support Tools,module,Service Module: fanService.ts
fan_calendar_cache,Fan Calendar Cache,Support Tools,module,Database table: fan_calendar_cache
fan_org_follows,Fan Org Follows,Support Tools,module,Database table: fan_org_follows
features,Feature Catalog,Support Tools,module,
feature_dependencies,Feature Dependencies,Support Tools,module,Database table: feature_dependencies
feature_dependency_cycles,Feature Dependency Cycles,Support Tools,module,Database table: feature_dependency_cycles
featuredetail,Feature Details,Support Tools,module,
feature_discovery_cache,Feature Discovery Cache,Support Tools,module,Database table: feature_discovery_cache
feature_discovery_corrections,Feature Discovery Corrections,Support Tools,module,Database table: feature_discovery_corrections
feature_discovery_hints,Feature Discovery Hints,Support Tools,module,Database table: feature_discovery_hints
feature_entitlements,Feature Entitlements,Support Tools,module,Database table: feature_entitlements
feature_flag_audit_log,Feature Flag Audit Log,Support Tools,module,Database table: feature_flag_audit_log
feature_flag_org_overrides,Feature Flag Org Overrides,Support Tools,module,Database table: feature_flag_org_overrides
feature_flag_platform_defaults,Feature Flag Platform Defaults,Support Tools,module,Database table: feature_flag_platform_defaults
feature_flag_user_overrides,Feature Flag User Overrides,Support Tools,module,Database table: feature_flag_user_overrides
feature_flags,Feature Flags,Support Tools,module,Database table: feature_flags
featureflags,Feature Flags,Support Tools,module,Feature toggles
feature_integration_assignments,Feature Integration Assignments,Support Tools,module,Database table: feature_integration_assignments
feature_integrations,Feature Integrations,Support Tools,module,Database table: feature_integrations
featureupgrade,Feature Upgrade,Support Tools,module,
featurebulkoperations,Featurebulkoperations,Support Tools,module,Service Module: featureBulkOperations.ts
featurehierarchy,Featurehierarchy,Support Tools,module,Service Module: featureHierarchyService.ts
feenotifications,Feenotifications,Support Tools,module,Service Module: feeNotifications.ts
followedorgs,Followed Organizations,Support Tools,module,Organizations you follow
following,Followed Organizations,Support Tools,module,Organizations you follow
forms,Forms,Support Tools,module,
free_trial_days,Free Trial Days,Support Tools,module,Feature Flag
galleries,Galleries,Support Tools,module,Database table: galleries
gallery,Gallery,Support Tools,module,Service Module: galleryService.ts
gallery_albums,Gallery Albums,Support Tools,module,Database table: gallery_albums
gallery_downloads,Gallery Downloads,Support Tools,module,Database table: gallery_downloads
gallery_share_links,Gallery Share Links,Support Tools,module,Database table: gallery_share_links
gallery_zip_downloads,Gallery Zip Downloads,Support Tools,module,Database table: gallery_zip_downloads
galleryservice_integration_test,Galleryservice Integration Test,Support Tools,module,Service Module: galleryService.integration.test.ts
games,Games,Support Tools,module,Service Module: gamesService.ts
guardian,Guardian,Support Tools,module,Service Module: guardianService.ts
guardian_attachment_requests,Guardian Attachment Requests,Support Tools,module,Database table: guardian_attachment_requests
guardianrequests,Guardian Requests,Support Tools,module,Review guardian attachment requests
help,Help & Support,Support Tools,module,Knowledge base and help center
helparticle,Help Article,Support Tools,module,
helparticlenested,Help Article (Nested),Support Tools,module,
helpcategory,Help Category,Support Tools,module,
help_category_page_mappings,Help Category Page Mappings,Support Tools,module,Database table: help_category_page_mappings
help_documentation,Help Documentation,Support Tools,visibility,Access to help documentation
help_role_category_mappings,Help Role Category Mappings,Support Tools,module,Database table: help_role_category_mappings
help_section_tag_combinations,Help Section Tag Combinations,Support Tools,module,Database table: help_section_tag_combinations
help_sections,Help Sections,Support Tools,module,Database table: help_sections
help_wordpress_cache,Help Wordpress Cache,Support Tools,module,Database table: help_wordpress_cache
help_wordpress_config,Help Wordpress Config,Support Tools,module,Database table: help_wordpress_config
helpcenterconfig,Helpcenterconfig,Support Tools,module,Service Module: helpCenterConfigService.ts
helpcenterdata,Helpcenterdata,Support Tools,module,Service Module: helpCenterDataService.ts
helpcentermapping,Helpcentermapping,Support Tools,module,Service Module: helpCenterMappingService.ts
helpcentersection,Helpcentersection,Support Tools,module,Service Module: helpCenterSectionService.ts
helpcentersync,Helpcentersync,Support Tools,module,Service Module: helpCenterSyncService.ts
huddle_audit_log,Huddle Audit Log,Support Tools,module,Database table: huddle_audit_log
huddle_notification_preferences,Huddle Notification Preferences,Support Tools,module,Database table: huddle_notification_preferences
huddle_reports,Huddle Reports,Support Tools,module,Database table: huddle_reports
huddles,Huddles,Support Tools,module,Service Module: huddlesService.ts
index,Index,Support Tools,module,Service Module: index.ts
index_backup,Index Backup,Support Tools,module,Database table: _index_backup
installment_plans,Installment Plans,Support Tools,module,Database table: installment_plans
installments,Installments,Support Tools,module,Database table: installments
join,Join a Team,Support Tools,module,Enter an invite code
join_links,Join Links,Support Tools,module,Database table: join_links
join_requests,Join Requests,Support Tools,module,Database table: join_requests
joinanalytics,Joinanalytics,Support Tools,module,Service Module: joinAnalytics.ts
joinlinks,Joinlinks,Support Tools,module,Service Module: joinLinksService.ts
leveldetail,Level Details,Support Tools,module,
levels,Levels,Support Tools,module,Service Module: levelsService.ts
license_change_log,License Change Log,Support Tools,module,Database table: license_change_log
license_tiers,License Tiers,Support Tools,module,Database table: license_tiers
tiers,License Tiers,Support Tools,module,
licensetiers,Licensetiers,Support Tools,module,Service Module: licenseTiersService.ts
max_athletes,Max Athletes,Support Tools,limit,Maximum number of athletes allowed
max_sub_orgs,Max Sub Organizations,Support Tools,limit,Maximum sub-organizations allowed
messages,Messages,Support Tools,module,Service Module: messagesService.ts
messages_archive,Messages Archive,Support Tools,module,Database table: messages_archive
migration_errors,Migration Errors,Support Tools,module,Database table: migration_errors
nearbyamenities,Nearbyamenities,Support Tools,module,Service Module: nearbyAmenitiesService.ts
notification,Notification,Support Tools,module,Service Module: notificationService.ts
notification_digest_buffer,Notification Digest Buffer,Support Tools,module,Database table: notification_digest_buffer
notification_jobs,Notification Jobs,Support Tools,module,Database table: notification_jobs
notificationanalytics,Notificationanalytics,Support Tools,module,Service Module: notificationAnalytics.ts
notificationdigesthelper,Notificationdigesthelper,Support Tools,module,Service Module: notificationDigestHelper.ts
notificationdistribution,Notificationdistribution,Support Tools,module,Service Module: notificationDistribution.ts
notificationerrortracking,Notificationerrortracking,Support Tools,module,Service Module: notificationErrorTracking.ts
notificationhelpers,Notificationhelpers,Support Tools,module,Service Module: notificationHelpers.ts
notificationjobmapper,Notificationjobmapper,Support Tools,module,Service Module: notificationJobMapper.ts
notificationpreferencesresolver,Notificationpreferencesresolver,Support Tools,module,Service Module: notificationPreferencesResolver.ts
notificationpreferencesresolver_test,Notificationpreferencesresolver Test,Support Tools,module,Service Module: notificationPreferencesResolver.test.ts
notifications,Notifications,Support Tools,module,Admin notifications
notificationservice_test,Notificationservice Test,Support Tools,module,Service Module: notificationService.test.ts
notificationservicecore,Notificationservicecore,Support Tools,module,Service Module: notificationServiceCore.ts
notificationservicecore_integration_test,Notificationservicecore Integration Test,Support Tools,module,Service Module: notificationServiceCore.integration.test.ts
onboarding,Onboarding,Support Tools,module,
orderlookup,Order Lookup,Support Tools,module,"Global order search by email, order ID, or transaction"
org_addon_entitlements,Org Addon Entitlements,Support Tools,module,Database table: org_addon_entitlements
org_advanced_settings,Org Advanced Settings,Support Tools,module,The advanced tab on the Organization Settings page
org_contact_requests,Org Contact Requests,Support Tools,module,Database table: org_contact_requests
org_licenses,Org Licenses,Support Tools,module,Database table: org_licenses
org_settings_attendance,Org Settings Attendance,Support Tools,module,Attendance tab on Org Settings
org_slug_history,Org Slug History,Support Tools,module,Database table: org_slug_history
org_sport_profile_settings,Org Sport Profile Settings,Support Tools,module,Database table: org_sport_profile_settings
org_storage_usage,Org Storage Usage,Support Tools,module,Database table: org_storage_usage
org_user_audit_log,Org User Audit Log,Support Tools,module,Database table: org_user_audit_log
orgadmin_advanced_personal_settings,Orgadmin Advanced Personal Settings,Support Tools,module,"The Advanced tab on Personal Settings "
organization,Organization,Support Tools,module,Service Module: organizationService.ts
organization_advanced_settings,Organization Advanced Settings,Support Tools,module,Database table: organization_advanced_settings
organization_attendance_settings,Organization Attendance Settings,Support Tools,module,Database table: organization_attendance_settings
organization_contacts,Organization Contacts,Support Tools,module,Database table: organization_contacts
organization_defaults,Organization Defaults,Support Tools,module,Database table: organization_defaults
orggalleries,Organization Galleries,Support Tools,module,
organization_invites,Organization Invites,Support Tools,module,Database table: organization_invites
orglanding,Organization Landing,Support Tools,module,
organization_members,Organization Members,Support Tools,module,Database table: organization_members
organization_notification_settings,Organization Notification Settings,Support Tools,module,Database table: organization_notification_settings
organization_registration_settings,Organization Registration Settings,Support Tools,module,Database table: organization_registration_settings
organization_settings,Organization Settings,Support Tools,module,Database table: organization_settings
base,Organization Settings,Support Tools,module,Organization info
organization_sport_customizations,Organization Sport Customizations,Support Tools,module,Database table: organization_sport_customizations
organization_sports,Organization Sports,Support Tools,module,Database table: organization_sports
organization_travel_contacts,Organization Travel Contacts,Support Tools,module,Database table: organization_travel_contacts
organization_visibility_settings,Organization Visibility Settings,Support Tools,module,Database table: organization_visibility_settings
organizationcontacts,Organizationcontacts,Support Tools,module,Service Module: organizationContactsService.ts
organizationcontactsservice_test,Organizationcontactsservice Test,Support Tools,module,Service Module: organizationContactsService.test.ts
organizations,Organizations,Support Tools,module,Database table: organizations
organizationservice_test,Organizationservice Test,Support Tools,module,Service Module: organizationService.test.ts
organizationsettings,Organizationsettings,Support Tools,module,Service Module: organizationSettingsService.ts
organizationtravelcontacts,Organizationtravelcontacts,Support Tools,module,Service Module: organizationTravelContactsService.ts
orgsportsettings,Orgsportsettings,Support Tools,module,Service Module: orgSportSettingsService.ts
overridedetail,Override Details,Support Tools,module,
overview,Overview,Support Tools,module,Licenses overview
parent_invites,Parent Invites,Support Tools,module,Database table: parent_invites
photo_storage_gb,Photo Storage (GB),Support Tools,limit,Photo storage limit in GB
platform_admins,Platform Admins,Support Tools,module,Database table: platform_admins
admins,Platform Admins,Support Tools,module,Admin management
platformadmins,Platformadmins,Support Tools,module,Service Module: platformAdminsService.ts
policy_consolidation_log,Policy Consolidation Log,Support Tools,module,Database table: _policy_consolidation_log
preferences,Preferences,Support Tools,module,Service Module: preferencesService.ts
programdetail,Program Details,Support Tools,module,
programs,Programs,Support Tools,module,Database table: programs
bysport,Programs by Sport,Support Tools,module,
purchases,Purchases,Support Tools,module,Database table: purchases
queryhelpers,Queryhelpers,Support Tools,module,Service Module: queryHelpers.ts
queryhelpers_test,Queryhelpers Test,Support Tools,module,Service Module: queryHelpers.test.ts
refunds,Refunds,Support Tools,module,Database table: refunds
suborgregistration,Register Sub-Organization,Support Tools,module,
registration,Registration,Support Tools,module,Service Module: registrationService.ts
responsehelpers,Responsehelpers,Support Tools,module,Service Module: responseHelpers.ts
responsehelpers_test,Responsehelpers Test,Support Tools,module,Service Module: responseHelpers.test.ts
rls_policy_backup,Rls Policy Backup,Support Tools,module,Database table: _rls_policy_backup
rls_validation_results,Rls Validation Results,Support Tools,module,Database table: _rls_validation_results
rolemappings,Role Mappings,Support Tools,module,Map roles to categories
roleselection,Role Selection,Support Tools,module,
rsvp,Rsvp,Support Tools,module,Service Module: rsvpService.ts
overrides,Rules & Overrides,Support Tools,module,
